Title,Price,Condition,Mileage,Year,Engine Capacity,Brand,Model
GM6 TypeR Keyless HiLoan 2016 Honda CITY 1.5 E (A),33800.0,Used,72499,,1497.0,Honda,CITY
SunRoof Leather Camera 2014 Hyundai ELANTRA 1.8(A),19800.0,Used,92499,,1797.0,Hyundai,ELANTRA
Camera360 Sunroof Leather BodyKit 2015 Mazda 3 2.0,37800.0,Used,62499,,1998.0,Mazda,3
Mercedes Benz E200 SPORTSTYLE 2.0 (A) SerRec Wrrty,163777.0,Used,47499,2020.0,1991.0,Mercedes,Benz
'15/21 Mini COOPER 2.0 S JCW Bkit Remus BBS Rims,83777.0,Used,62499,2015.0,1998.0,Mini,COOPER
YM12/17 Toyota VELLFIRE 2.4 Z FLift 2PDoor 7Seater,77777.0,Used,72499,2012.0,2362.0,Toyota,VELLFIRE
2014 Toyota HARRIER 2.0 PREMIUM 1 Owner Car King,75777.0,Used,97499,2014.0,1986.0,Toyota,HARRIER
NEGO 2019 RangeRover VOGUE 5.0 V8 LWB AUTOBIOGRAPH,630000.0,Recon,47499,,5000.0,Unknown,Unknown
2017 Honda JAZZ 1.5 V (A) FULL SERVICE RECORD,48800.0,Used,47499,2017.0,1497.0,Honda,JAZZ
Proton IRIZ 1.6 PREMIUM (A) FULL SERVICE RECORD,24800.0,Used,144999,2019.0,1597.0,Proton,IRIZ
2018 Volkswagen PASSAT 1.8 TSI (A) MEMORY SEATS,54800.0,Used,134999,2018.0,1798.0,Volkswagen,PASSAT
2023 Toyota ALPHARD 2.5 Z (A) UNREG,337000.0,Recon,7499,,2493.0,Toyota,ALPHARD
2020 Proton X70 TGDI PREMIUM 2WD 1.8L (A)45KMILEAG,57800.0,Used,47499,2020.0,1799.0,Proton,X70
2022 Proton PERSONA STANDARD 1.6L (A)ORI PAINT,33800.0,Used,42499,2022.0,1597.0,Proton,PERSONA
2015 Perodua MYVI 1.5 SE FACELIFT (A)ORILOWMILEAGE,28800.0,Used,97499,2015.0,1495.0,Perodua,MYVI
2019 Mazda CX-5 2.0 G 2WD HIGH SPEC FACELIFT (A),84800.0,Used,92499,2019.0,1998.0,Mazda,CX-5
2018 Ford RANGER 2.0 XLT (A)ORIGINAL LOW MILEAGE,65800.0,Used,72499,2018.0,1998.0,Ford,RANGER
2018 Toyota HILUX 2.8 L-EDITION FACELIFT (A),87800.0,Used,82499,2018.0,2755.0,Toyota,HILUX
2023 Proton PERSONA PREMIUM 1.6L (A),45800.0,Used,52499,2023.0,1597.0,Proton,PERSONA
2016 Mazda CX-5 2.2 D GLS 2WD NFL Leather Ser Recs,40777.0,Used,92499,2016.0,2191.0,Mazda,CX-5
2014 Perodua MYVI 1.3 SE ZHS (A),24800.0,Used,87499,2014.0,1298.0,Perodua,MYVI
"2023 Honda CIVIC 2.0 TYPE R FL5 (M) 18K KM,5A",279000.0,Recon,17499,,1996.0,Honda,CIVIC
2021 Mercedes Benz A35 2.0 AMG 4MATIC FULL SPECS,235000.0,Recon,57499,,1991.0,Mercedes,Benz
2014 Toyota VIOS 1.5 TRD SPORTIVO (A) 1 OWNER,40800.0,Used,134999,2014.0,1497.0,Toyota,VIOS
2014 Perodua ALZA 1.5 SE ZS FACELIFT (A) 1 OWNER,29800.0,Used,104999,2014.0,1495.0,Perodua,ALZA
